,bib,name,team,category,rank,nationality,time,Delev,StGer,Conta,Balme,Bonhom,Chapieu,Seigne,Combal,MtFavre,Checrou,Courm1,Courm2,Bertone,Bonatti,Arnuva,GdColF,Fouly,Champex,Giete,Trient,Catogne,Vallo,TaVents,Flegere,Arrivee,timediff
48,72,MODENA Christian,New Balance - Alpstation Trail Team,SEH,49,IT,100158.0,5117.0,7399.0,11472.0,15467.0,19550.0,21682.0,28017.0,31909.0,35156.0,37073.0,39117.0,40298.0,44360.0,48167.0,50861.0,55283.0,59590.0,67841.0,76489.0,78999.0,84217.0,87122.0,94505.0,96824.0,100158.0,24003.0
49,2506,MALARD Johan,CAP SAUMUR,V1H,50,FR,100285.0,4998.0,7294.0,11371.0,16118.0,20923.0,23115.0,29636.0,33776.0,36852.0,38859.0,40956.0,41807.0,46152.0,50106.0,52827.0,56955.0,60915.0,,77298.0,79626.0,84816.0,87621.0,94627.0,96864.0,100285.0,24130.0
50,155,HOARAU Jean-Hugo,TEAM FreeXion REUNION,SEH,51,FR,100833.0,4712.0,6835.0,10872.0,15135.0,19706.0,21679.0,28271.0,32574.0,35904.0,37757.0,39652.0,41189.0,45701.0,50214.0,52960.0,58111.0,61993.0,71688.0,79522.0,81695.0,86906.0,89187.0,96136.0,98263.0,100833.0,24678.0
51,167,BETHAZ Marco,COURMAYEUR TRAILERS,V2H,52,IT,101163.0,5577.0,8125.0,12628.0,17290.0,21339.0,23407.0,29853.0,33791.0,36791.0,38711.0,40716.0,41804.0,45960.0,49457.0,52001.0,55976.0,59968.0,67176.0,74970.0,77320.0,84824.0,87794.0,95446.0,97859.0,101163.0,25008.0
52,158,OHSHIMA Takuro,UNG,SEH,53,JP,101277.0,5626.0,8089.0,12700.0,17419.0,21726.0,23971.0,30646.0,35015.0,38304.0,40106.0,42133.0,43239.0,47522.0,51426.0,54066.0,58231.0,61996.0,69800.0,79524.0,81528.0,86138.0,88677.0,95786.0,98198.0,101277.0,25122.0
53,144,INNERKOFLER Eugen,S.V. NIEDERDORF,V2H,54,IT,101499.0,5398.0,7866.0,12392.0,16855.0,21287.0,23504.0,30642.0,34636.0,37762.0,39712.0,41780.0,42347.0,46394.0,50113.0,52866.0,57029.0,61191.0,,77104.0,79580.0,84877.0,87828.0,95096.0,97753.0,101499.0,25344.0
54,243,TOUBIN Marc,,V1H,55,FR,101685.0,4980.0,7348.0,11535.0,16033.0,20288.0,22518.0,29597.0,33842.0,36846.0,38877.0,41118.0,42397.0,46553.0,50464.0,53230.0,57367.0,61678.0,70150.0,78056.0,80487.0,85578.0,88780.0,96199.0,98521.0,101685.0,25530.0
55,120,ARNAUD Sylvain,TEAM ENDURANCE SHOP ECHIROLLES / AL ECHIROLLES,SEH,56,FR,101915.0,5148.0,7432.0,11868.0,16540.0,20740.0,22688.0,29417.0,33781.0,37087.0,39048.0,41091.0,42825.0,47049.0,50966.0,54029.0,58036.0,62670.0,69864.0,79556.0,81897.0,87350.0,90276.0,97508.0,99379.0,101915.0,25760.0
56,198,VALLE SANCHEZ Omar,GRUPO CANDELARIENSE DE MONTAñA,V1H,57,ES,102080.0,5401.0,7855.0,12615.0,17327.0,21540.0,23511.0,30014.0,34213.0,37739.0,39662.0,41845.0,42821.0,47239.0,51311.0,54124.0,58557.0,62590.0,70268.0,78752.0,80962.0,86193.0,89122.0,96462.0,99101.0,102080.0,25925.0
57,114,MUDARRA SANCHEZ Miguel,HOCKEY ALCALA,V1H,58,ES,102759.0,5385.0,7771.0,12536.0,17444.0,21985.0,24304.0,31721.0,36056.0,39846.0,41832.0,43777.0,44801.0,48936.0,52594.0,55212.0,59910.0,63869.0,72007.0,80342.0,82429.0,88124.0,90431.0,96844.0,99354.0,102759.0,26604.0
